jurisdiction,parcels,single_fam,duplex,multifamily
Alexandria,107,0.972,0.972,0.8504999999999999
Arlington,71,0.7465,0.7042,0.7042
Dumfries,10,0.5,0.6,0.1
Fairfax,70,0.4857,0.2286,0.0429
Fairfax (city),19,0.5789,0,0
Falls Church,23,0.7826000000000001,0.5217,0.43479999999999996
Hamilton,3,1,0,0
Haymarket,3,1,1,0
Leesburg,32,0.875,0.7188,0.25
Loudoun,21,0.23809999999999998,0,0
Lovettsville,1,1,0,0
Manassas,35,0.6,0.2286,0.2286
Manassas Park,2,1,0,0
Middleburg,13,1,0.3846,0.3077
Occoquan,2,0,0,0
Prince William,214,0.7290000000000001,0.1215,0.1308
Purcellville,10,0.6,0.1,0
Round Hill,8,1,0.125,0.125
Vienna,4,0.75,0.25,0.25
