ll_uuid,geoid,jurisdiction,cbsa,pdc,owner,usecode,usedesc,struct,improvval,landval,parval,owntype,saddno,saddpref,saddsttyp,saddstsuf,sunit,scity,county,szip,lat,lon,ll_gisacre,ll_gissqft,ll_bldg_count,ll_bldg_footprint_sqft,acres,address,bld_coverage
6074393d-99cd-4ead-b936-398e5168f1c5,51173,Smyth County,Non-Metro,Mount Rogers,CHILHOWIE UNITED METHODIST CHURCH,NA,NA,NA,0,15000,15000,NA,NA,NA,NA,NA,NA,Chilhowie,smyth,24319,36.802262,-81.681091,0.42243000000000003,18401,0,NA,0.4227391530281667,CHILHOWIE SMYTH 24319,NA
836bbda8-e828-4a11-96a4-dbea3cb9c799,51173,Smyth County,Non-Metro,Mount Rogers,FIRST CHRISTIAN CHURCH,NA,NA,NA,0,3100,3100,NA,NA,NA,NA,NA,NA,Saltville,smyth,24370,36.891341,-81.773590,1.78155,77606,0,NA,1.782807550601821,SALTVILLE SMYTH 24370,NA
c1112779-e056-4d5c-959a-ee7a9c8667b1,51035,Carroll County,Non-Metro,Mount Rogers,FAIRVIEW PRESBYTERIAN CHURCH,76,NA,NA,0,12300,12300,NA,NA,NA,NA,NA,NA,NA,carroll,24343,36.755968,-80.704039,1.25397,54624,1,201,1.2549746136761937,CARROLL 24343,0.003679701230228471
d7751d9e-c8b0-4f65-b271-428700e38015,51025,Brunswick County,Non-Metro,Southside,LAWRENCEVILLE UNITED ME CHURCH TRUS,76,NA,NA,742200,40000,782200,NA,300,W,ST,NA,NA,LAWRENCEVILLE,brunswick,23868-1707,36.758898,-77.848653,0.81698,35588,2,7110,0.8163508367435944,300 W ST LAWRENCEVILLE BRUNSWICK 23868-1707,0.19978644486905697
4f0e6694-0165-45dd-9ca2-60aa8399148a,51550,Chesapeake City,"Virginia Beach-Norfolk-Newport News, VA-NC",Hampton Roads,LIVING WATERS CHRISTIAN FLWSP CH,7600,NA,NA,3183600,679500,3863100,NA,2700,NA,RD,NA,NA,CHESAPEAKE,chesapeake,23321-1516,36.833316,-76.432038,6.7934,295926,3,16775,6.796250183552396,2700 RD CHESAPEAKE CHESAPEAKE 23321-1516,0.05668646891452593
5de1e792-66bf-48d8-89fe-2c08aa3a8e5d,51117,Mecklenburg County,Non-Metro,Southside,MT ZION CHURCH,76,NA,NA,NA,14000,73800,NA,201,NA,STREET,NA,NA,Clarksville,mecklenburg,23927,36.624704,-78.553219,0.49008,21348,1,2179,0.48990625271547833,201 STREET CLARKSVILLE MECKLENBURG 23927,0.10207045156454937
7d718829-3fe3-4ac1-9824-b6c98bf84d04,51590,Danville City,"Danville, VA",West Piedmont,BIBLEWAY CATHEDRAL TRUSTEES,1091,Vac Res Lot Buildable - 1,NA,0,2100,2100,NA,NA,NA,NA,NA,NA,Danville,danville,24541,36.572601,-79.387900,0.1944,8468,0,NA,0.19445914178665474,DANVILLE DANVILLE 24541,NA
24490a9c-14ec-45d0-908c-b95ef6fa3c33,51077,Grayson County,Non-Metro,Mount Rogers,BRUSH CREEK BAPTIST CHURCH,NA,NA,NA,0,20000,20000,NA,NA,NA,NA,NA,NA,NA,grayson,24348,36.602750,-81.151859,0.49479,21554,0,NA,0.49519818504220947,GRAYSON 24348,NA
6b93b817-223b-402b-9f32-ee368dbadb4b,51760,Richmond City,"Richmond, VA",PlanRVA,UNION LEVEL BAPTIST CHURCH TR,406,B Paved Surface Parking,NA,11000,35000,46000,NA,1806,NA,NA,NA,NA,RICHMOND,richmond-city,23231,37.516988,-77.392489,0.23474,10226,0,NA,0.2346779700765345,1806 RICHMOND RICHMOND-CITY 23231,NA
07cd6c30-0d44-4c9b-9223-7310340f808e,51033,Caroline County,Non-Metro,George Washington,CALVARY CHRISTIAN CHURCH INC,76,NA,NA,87300,8000,95300,NA,NA,NA,NA,NA,NA,BOWLING GREEN,caroline,22427,38.051767,-77.346214,0.13924,6065,1,2210,0.1392076758149812,BOWLING GREEN CAROLINE 22427,0.36438582028029676
92875723-eda9-447b-9f70-13293476c10f,51840,Winchester City,"Winchester, VA-WV",Northern Shenandoah,PENTECOSTAL CHURCH NEW REBIRTH,NA,VACANT LAND,NA,5850,65000,70850,NA,2313,NA,RD,NA,NA,WINCHESTER,winchester,22601,39.157737,-78.177158,0.28613,12464,1,1049,0.28594408436604163,2313 RD WINCHESTER WINCHESTER 22601,0.08416238767650834
0375e73f-7a32-45b0-8c6c-91b497dc0e7e,51700,Newport News City,"Virginia Beach-Norfolk-Newport News, VA-NC",Hampton Roads,CALVARY CHAPEL NEWPORT NEWS,16,CHURCH/SYNAGOGUE/OTHER PLACES OF WORSHIP,NA,78700,38400,117100,NA,15541,NA,BLVD,NA,NA,NEWPORT NEWS,newport-news,23608-1507,37.158819,-76.558251,0.03717,1619,1,1571,0.03718160506061004,15541 BLVD NEWPORT NEWS NEWPORT-NEWS 23608-1507,0.9703520691785052
c6fd20af-f1f7-4aba-a639-f35379e7ed52,51105,Lee County,Non-Metro,Lenowisco,BELCHERS CHAPEL CHURCH,76,NA,NA,430200,9000,439200,NA,NA,NA,NA,NA,NA,Pennington Gap,lee,24277,36.761366,-83.012208,0.27302,11893,0,0,0.27302312993843386,PENNINGTON GAP LEE 24277,0
